,classification_label,experiment,f1-score,precision,recall,support,test_label,test_website,train_label,train_website
0,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,1687.0,detail_description_label,lajumate.ro,detail_description_label,lajumate.ro
1,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,3.0,detail_description_label,lajumate.ro,detail_description_label,lajumate.ro
2,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,760.0,detail_description_label,www.aliexpress.com,detail_description_label,www.aliexpress.com
3,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,1.0,detail_description_label,www.aliexpress.com,detail_description_label,www.aliexpress.com
4,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,3524.0,detail_description_label,www.emag.ro,detail_description_label,www.emag.ro
5,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,1.0,detail_description_label,www.emag.ro,detail_description_label,www.emag.ro
6,detail_description_label,1.1 - decision tree,0.9998445998445998,0.9996892479801118,1.0,3217.0,detail_description_label,www.okazii.ro,detail_description_label,www.okazii.ro
7,detail_description_label,1.1 - decision tree,0.6666666666666666,1.0,0.5,2.0,detail_description_label,www.okazii.ro,detail_description_label,www.okazii.ro
8,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,2010.0,detail_description_label,www.olx.ro,detail_description_label,www.olx.ro
9,detail_description_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_description_label,www.olx.ro,detail_description_label,www.olx.ro
10,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,1710.0,detail_image_label,lajumate.ro,detail_image_label,lajumate.ro
11,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,14.0,detail_image_label,lajumate.ro,detail_image_label,lajumate.ro
12,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,760.0,detail_image_label,www.aliexpress.com,detail_image_label,www.aliexpress.com
13,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,1.0,detail_image_label,www.aliexpress.com,detail_image_label,www.aliexpress.com
14,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,7558.0,detail_image_label,www.amazon.com,detail_image_label,www.amazon.com
15,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_image_label,www.amazon.com,detail_image_label,www.amazon.com
16,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,4796.0,detail_image_label,www.emag.ro,detail_image_label,www.emag.ro
17,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,4.0,detail_image_label,www.emag.ro,detail_image_label,www.emag.ro
18,detail_image_label,1.1 - decision tree,0.9998445515311675,1.0,0.9996891513832763,3217.0,detail_image_label,www.okazii.ro,detail_image_label,www.okazii.ro
19,detail_image_label,1.1 - decision tree,0.8,0.6666666666666666,1.0,2.0,detail_image_label,www.okazii.ro,detail_image_label,www.okazii.ro
20,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,2123.0,detail_image_label,www.olx.ro,detail_image_label,www.olx.ro
21,detail_image_label,1.1 - decision tree,1.0,1.0,1.0,6.0,detail_image_label,www.olx.ro,detail_image_label,www.olx.ro
22,detail_price_label,1.1 - decision tree,0.9996957712199573,0.9993917274939172,1.0,1643.0,detail_price_label,lajumate.ro,detail_price_label,lajumate.ro
23,detail_price_label,1.1 - decision tree,0.6666666666666666,1.0,0.5,2.0,detail_price_label,lajumate.ro,detail_price_label,lajumate.ro
24,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,7558.0,detail_price_label,www.amazon.com,detail_price_label,www.amazon.com
25,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_price_label,www.amazon.com,detail_price_label,www.amazon.com
26,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,4351.0,detail_price_label,www.emag.ro,detail_price_label,www.emag.ro
27,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_price_label,www.emag.ro,detail_price_label,www.emag.ro
28,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,3313.0,detail_price_label,www.okazii.ro,detail_price_label,www.okazii.ro
29,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_price_label,www.okazii.ro,detail_price_label,www.okazii.ro
30,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,2010.0,detail_price_label,www.olx.ro,detail_price_label,www.olx.ro
31,detail_price_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_price_label,www.olx.ro,detail_price_label,www.olx.ro
32,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,1688.0,detail_title_label,lajumate.ro,detail_title_label,lajumate.ro
33,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_title_label,lajumate.ro,detail_title_label,lajumate.ro
34,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,760.0,detail_title_label,www.aliexpress.com,detail_title_label,www.aliexpress.com
35,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,1.0,detail_title_label,www.aliexpress.com,detail_title_label,www.aliexpress.com
36,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,7558.0,detail_title_label,www.amazon.com,detail_title_label,www.amazon.com
37,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_title_label,www.amazon.com,detail_title_label,www.amazon.com
38,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,4798.0,detail_title_label,www.emag.ro,detail_title_label,www.emag.ro
39,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,2.0,detail_title_label,www.emag.ro,detail_title_label,www.emag.ro
40,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,3216.0,detail_title_label,www.okazii.ro,detail_title_label,www.okazii.ro
41,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,3.0,detail_title_label,www.okazii.ro,detail_title_label,www.okazii.ro
42,detail_title_label,1.1 - decision tree,1.0,1.0,1.0,2012.0,detail_title_label,www.olx.ro,detail_title_label,www.olx.ro
43,list_image_label,1.1 - decision tree,0.9990186457311089,1.0,0.9980392156862745,510.0,list_image_label,www.aliexpress.com,list_image_label,www.aliexpress.com
44,list_image_label,1.1 - decision tree,0.9473684210526316,0.9,1.0,9.0,list_image_label,www.aliexpress.com,list_image_label,www.aliexpress.com
45,list_image_label,1.1 - decision tree,1.0,1.0,1.0,7745.0,list_image_label,www.amazon.com,list_image_label,www.amazon.com
46,list_image_label,1.1 - decision tree,1.0,1.0,1.0,61.0,list_image_label,www.amazon.com,list_image_label,www.amazon.com
47,list_image_label,1.1 - decision tree,1.0,1.0,1.0,4501.0,list_image_label,www.emag.ro,list_image_label,www.emag.ro
48,list_image_label,1.1 - decision tree,1.0,1.0,1.0,59.0,list_image_label,www.emag.ro,list_image_label,www.emag.ro
49,list_image_label,1.1 - decision tree,1.0,1.0,1.0,25024.0,list_image_label,www.okazii.ro,list_image_label,www.okazii.ro
50,list_image_label,1.1 - decision tree,1.0,1.0,1.0,240.0,list_image_label,www.okazii.ro,list_image_label,www.okazii.ro
51,list_image_label,1.1 - decision tree,1.0,1.0,1.0,14658.0,list_image_label,www.olx.ro,list_image_label,www.olx.ro
52,list_image_label,1.1 - decision tree,1.0,1.0,1.0,205.0,list_image_label,www.olx.ro,list_image_label,www.olx.ro
53,list_price_label,1.1 - decision tree,1.0,1.0,1.0,6958.0,list_price_label,lajumate.ro,list_price_label,lajumate.ro
54,list_price_label,1.1 - decision tree,1.0,1.0,1.0,156.0,list_price_label,lajumate.ro,list_price_label,lajumate.ro
55,list_price_label,1.1 - decision tree,1.0,1.0,1.0,510.0,list_price_label,www.aliexpress.com,list_price_label,www.aliexpress.com
56,list_price_label,1.1 - decision tree,1.0,1.0,1.0,9.0,list_price_label,www.aliexpress.com,list_price_label,www.aliexpress.com
57,list_price_label,1.1 - decision tree,1.0,1.0,1.0,7759.0,list_price_label,www.amazon.com,list_price_label,www.amazon.com
58,list_price_label,1.1 - decision tree,1.0,1.0,1.0,47.0,list_price_label,www.amazon.com,list_price_label,www.amazon.com
59,list_price_label,1.1 - decision tree,1.0,1.0,1.0,4470.0,list_price_label,www.emag.ro,list_price_label,www.emag.ro
60,list_price_label,1.1 - decision tree,1.0,1.0,1.0,94.0,list_price_label,www.emag.ro,list_price_label,www.emag.ro
61,list_price_label,1.1 - decision tree,1.0,1.0,1.0,24401.0,list_price_label,www.okazii.ro,list_price_label,www.okazii.ro
62,list_price_label,1.1 - decision tree,1.0,1.0,1.0,225.0,list_price_label,www.okazii.ro,list_price_label,www.okazii.ro
